x,y
134,25
135,24
136,22
137,22
141,23
142,23
145,24
146,24
147,25
147,26
146,29
147,30
148,30
148,31
149,31
153,30
153,29
154,29
155,28
156,28
159,27
160,27
162,26
165,22
166,20
167,18
166,17
166,16
167,16
167,15
168,13
169,13
170,12
171,12
172,13
173,15
173,16
174,17
175,17
177,16
178,16
178,17
179,19
180,19
180,20
181,21
181,22
180,23
180,24
179,25
178,26
177,26
175,27
176,27
180,28
179,29
180,30
180,31
181,32
182,32
181,33
181,34
183,35
182,35
182,36
183,38
184,37
185,32
185,31
186,32
187,32
187,33
188,34
188,35
189,38
190,38
192,37
193,38
193,39
194,39
195,40
195,41
196,41
198,40
200,40
201,42
202,43
201,44
201,45
202,48
203,48
203,49
202,50
202,51
203,52
204,52
208,53
209,53
209,52
210,49
210,50
211,50
212,51
213,51
214,50
215,50
216,51
217,51
219,50
220,50
221,51
222,51
225,52
226,52
226,53
227,54
228,54
238,53
239,53
240,52
242,49
243,49
244,49
244,50
245,51
246,52
246,53
247,54
248,54
249,53
249,52
250,48
251,48
252,47
253,47
254,46
255,46
257,47
258,47
262,46
263,46
265,45
265,44
266,44
266,43
267,42
268,40
267,40
267,39
268,39
269,38
271,37
272,36
273,36
273,37
274,38
274,37
275,37
276,36
277,36
277,35
278,35
279,36
281,37
282,38
282,39
283,44
283,45
284,46
287,48
288,49
289,50
290,50
292,51
292,52
293,54
293,55
294,56
294,57
290,58
289,59
289,60
290,62
292,63
294,64
294,65
293,66
293,67
294,71
294,72
295,74
296,76
297,77
298,79
299,80
298,80
298,81
297,83
297,84
296,86
296,87
297,87
298,87
298,86
299,85
299,84
300,83
300,82
299,81
300,80
301,80
305,81
307,82
309,83
309,84
310,85
310,86
311,87
312,87
315,88
316,88
323,89
324,90
325,90
327,89
328,89
329,90
330,90
332,91
333,91
334,92
336,93
339,92
340,92
343,91
345,90
346,89
347,89
348,88
349,88
350,87
351,87
352,86
353,86
354,85
355,85
356,84
357,84
358,83
360,82
361,81
369,74
370,73
369,70
368,70
367,75
367,76
368,78
368,79
369,81
371,82
375,81
376,81
377,80
378,80
388,79
389,79
391,78
392,78
394,77
395,77
396,76
397,76
398,76
399,77
400,77
403,78
404,79
403,79
403,80
404,81
405,81
405,82
404,82
404,83
403,84
404,85
404,86
405,88
408,90
409,91
410,91
419,92
421,93
426,92
427,92
429,91
430,91
431,90
432,90
432,91
433,92
434,93
436,94
437,95
438,95
439,96
440,96
442,97
443,97
444,98
445,98
