sq,x,y
NF09,0,890
NA00,0,900
NF19,10,890
NA10,10,900
NL57,50,770
NL58,50,780
NF56,50,860
NF58,50,880
NL68,60,780
NL69,60,790
NF60,60,800
NF61,60,810
NF66,60,860
NF67,60,870
NF68,60,880
NA64,60,940
NL79,70,790
NF70,70,800
NF71,70,810
NF72,70,820
NF73,70,830
NF74,70,840
NF75,70,850
NF76,70,860
NF77,70,870
NA74,70,940
SV80,80,0
SV81,80,10
NL82,80,720
NF80,80,800
NF81,80,810
NF82,80,820
NF83,80,830
NF84,80,840
NF85,80,850
NF86,80,860
NF87,80,870
NF88,80,880
NF89,80,890
NA81,80,910
SV90,90,0
SV91,90,10
NL94,90,740
NF95,90,850
NF96,90,860
NF97,90,870
NF98,90,880
NF99,90,890
NA90,90,900
NA91,90,910
NA92,90,920
NA93,90,930
NM04,100,740
NM05,100,750
NG07,100,870
NG08,100,880
NG09,100,890
NB00,100,900
NB01,100,910
NB02,100,920
NB03,100,930
NB04,100,940
NR15,110,650
NR16,110,660
NM10,110,700
NM14,110,740
NM15,110,750
NM16,110,760
NM19,110,790
NG10,110,800
NG13,110,830
NG14,110,840
NG15,110,850
NG18,110,880
NG19,110,890
NB10,110,900
NB11,110,910
NB12,110,920
NB13,110,930
NB14,110,940
SW21,120,10
NR24,120,640
NR25,120,650
NR26,120,660
NR27,120,670
NM21,120,710
NM22,120,720
NM23,120,730
NM24,120,740
NM25,120,750
NM26,120,760
NM29,120,790
NG20,120,800
NG23,120,830
NG24,120,840
NG25,120,850
NG26,120,860
NG29,120,890
NB20,120,900
NB21,120,910
NB22,120,920
NB23,120,930
NB24,120,940
NB25,120,950
SW32,130,20
SW33,130,30
NR33,130,630
NR34,130,640
NR35,130,650
NR36,130,660
NR37,130,670
NR38,130,680
NR39,130,690
NM31,130,710
NM32,130,720
NM33,130,730
NM34,130,740
NM35,130,750
NM37,130,770
NM38,130,780
NM39,130,790
NG30,130,800
NG31,130,810
NG32,130,820
NG33,130,830
NG34,130,840
NG35,130,850
NG36,130,860
NG37,130,870
NG38,130,880
NG39,130,890
NB30,130,900
NB31,130,910
NB32,130,920
NB33,130,930
NB34,130,940
NB35,130,950
SW42,140,20
SW43,140,30
SW44,140,40
SM40,140,200
NR44,140,640
NR45,140,650
NR46,140,660
NR47,140,670
NR48,140,680
NR49,140,690
NM40,140,700
NM41,140,710
NM42,140,720
NM43,140,730
NM44,140,740
NM45,140,750
NM46,140,760
NM47,140,770
NM48,140,780
NM49,140,790
NG40,140,800
NG41,140,810
NG42,140,820
NG43,140,830
NG44,140,840
NG45,140,850
NG46,140,860
NG47,140,870
NG49,140,890
NB40,140,900
NB41,140,910
NB42,140,920
NB43,140,930
NB44,140,940
NB45,140,950
NB46,140,960
SW52,150,20
SW53,150,30
SW54,150,40
SM50,150,200
NR50,150,600
NR51,150,610
NR56,150,660
NR57,150,670
NR58,150,680
NR59,150,690
NM51,150,710
NM52,150,720
NM53,150,730
NM54,150,740
NM55,150,750
NM56,150,760
NM57,150,770
NM59,150,790
NG50,150,800
NG51,150,810
NG52,150,820
NG53,150,830
NG54,150,840
NG55,150,850
NG56,150,860
NB52,150,920
NB53,150,930
NB54,150,940
NB55,150,950
NB56,150,960
HW55,150,1050
SW61,160,10
SW62,160,20
SW63,160,30
SW64,160,40
SW65,160,50
SM62,160,220
NR60,160,600
NR61,160,610
NR62,160,620
NR63,160,630
NR64,160,640
NR65,160,650
NR67,160,670
NR68,160,680
NR69,160,690
NM60,160,700
NM61,160,710
NM62,160,720
NM63,160,730
NM64,160,740
NM65,160,750
NM66,160,760
NM67,160,770
NM68,160,780
NM69,160,790
NG60,160,800
NG61,160,810
NG62,160,820
NG63,160,830
NG64,160,840
NG65,160,850
NG66,160,860
HW62,160,1020
HW63,160,1030
SW71,170,10
SW72,170,20
SW73,170,30
SW74,170,40
SW75,170,50
SW76,170,60
SM70,170,200
SM71,170,210
SM72,170,220
SM73,170,230
NR70,170,600
NR71,170,610
NR72,170,620
NR73,170,630
NR74,170,640
NR75,170,650
NR76,170,660
NR77,170,670
NR78,170,680
NR79,170,690
NM70,170,700
NM71,170,710
NM72,170,720
NM73,170,730
NM74,170,740
NM75,170,750
NM76,170,760
NM77,170,770
NM78,170,780
NM79,170,790
NG70,170,800
NG71,170,810
NG72,170,820
NG73,170,830
NG74,170,840
NG75,170,850
NG76,170,860
NG77,170,870
NG78,170,880
NG79,170,890
SW81,180,10
SW82,180,20
SW83,180,30
SW84,180,40
SW85,180,50
SW86,180,60
SW87,180,70
SR89,180,190
SM80,180,200
SM81,180,210
SM82,180,220
SM83,180,230
SM84,180,240
NR82,180,620
NR83,180,630
NR84,180,640
NR85,180,650
NR86,180,660
NR87,180,670
NR88,180,680
NR89,180,690
NM80,180,700
NM81,180,710
NM82,180,720
NM83,180,730
NM84,180,740
NM85,180,750
NM86,180,760
NM87,180,770
NM88,180,780
NM89,180,790
NG80,180,800
NG81,180,810
NG82,180,820
NG83,180,830
NG84,180,840
NG85,180,850
NG86,180,860
NG87,180,870
NG88,180,880
NG89,180,890
HW83,180,1030
SW93,190,30
SW94,190,40
SW95,190,50
SW96,190,60
SW97,190,70
SW98,190,80
SR99,190,190
SM90,190,200
SM91,190,210
SM92,190,220
SM93,190,230
SM94,190,240
NW95,190,550
NW96,190,560
NW97,190,570
NR92,190,620
NR93,190,630
NR94,190,640
NR95,190,650
NR96,190,660
NR97,190,670
NR98,190,680
NR99,190,690
NM90,190,700
NM91,190,710
NM92,190,720
NM93,190,730
NM94,190,740
NM95,190,750
NM96,190,760
NM97,190,770
NM98,190,780
NM99,190,790
NG90,190,800
NG91,190,810
NG92,190,820
NG93,190,830
NG94,190,840
NG95,190,850
NG96,190,860
NG97,190,870
NG98,190,880
NG99,190,890
NB90,190,900
NB91,190,910
NB92,190,920
SX03,200,30
SX04,200,40
SX05,200,50
SX06,200,60
SX07,200,70
SX08,200,80
SX09,200,90
SS09,200,190
SN00,200,200
SN01,200,210
SN02,200,220
SN03,200,230
SN04,200,240
NX03,200,530
NX04,200,540
NX05,200,550
NX06,200,560
NX07,200,570
NX08,200,580
NX09,200,590
NS00,200,600
NS01,200,610
NS02,200,620
NS03,200,630
NS04,200,640
NS05,200,650
NS06,200,660
NS07,200,670
NS08,200,680
NS09,200,690
NN00,200,700
NN01,200,710
NN02,200,720
NN03,200,730
NN04,200,740
NN05,200,750
NN06,200,760
NN07,200,770
NN08,200,780
NN09,200,790
